,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,93.28098680000001,2022-06-25 18:36:10.593359,2022-06-26 04:58:39.880965,0 days 10:22:29.287606,tanh,256,0.2,4.7102691368895975e-05,0.8,0.95,0.016253652447000624,0.6,10,64,medium,0.9961553137120291,COMPLETE
1,1,,2022-06-25 18:36:10.594598,,,tanh,8,0.3,0.0005677707416968426,0.92,0.95,0.0016053408958322834,1.0,20,2048,small,0.5933446670810685,RUNNING
2,2,57.515910000000005,2022-06-25 18:36:10.627945,2022-06-26 04:32:49.373926,0 days 09:56:38.745981,relu,512,0.2,9.831742846534842e-08,0.98,0.99,0.0010501145063833866,0.6,1,8,medium,0.002054955549513071,COMPLETE
3,3,-16.5115032,2022-06-25 18:36:10.634469,2022-06-26 09:27:03.865690,0 days 14:50:53.231221,tanh,128,0.4,1.0551506810586044e-07,0.98,0.9999,0.012577316380371906,0.3,10,32,small,0.26077553268637965,COMPLETE
4,4,942.8643622,2022-06-26 04:32:49.375775,2022-06-26 08:57:32.635493,0 days 04:24:43.259718,relu,256,0.1,4.543132151457905e-05,0.8,0.995,0.00016152763919747857,5.0,1,512,medium,0.12664205796160521,COMPLETE
5,5,,2022-06-26 04:58:39.883595,,,relu,8,0.1,1.1151819329877552e-06,0.98,0.98,0.004969479005685421,0.3,20,8,medium,0.45674630561916685,RUNNING
6,6,,2022-06-26 08:57:32.636828,2022-06-26 08:58:18.828071,0 days 00:00:46.191243,relu,256,0.3,0.01205305658975483,0.8,0.99,0.3075045625269536,0.6,20,16,medium,0.6158836739045415,PRUNED
7,7,,2022-06-26 08:58:18.829005,2022-06-26 08:58:38.979344,0 days 00:00:20.150339,relu,8,0.4,0.005779808710117561,0.92,0.9999,0.1162655759877854,0.5,1,512,medium,0.5824254668045686,PRUNED
8,8,,2022-06-26 08:58:38.980238,,,tanh,16,0.4,0.0004926453481834072,0.95,0.98,0.034371205829112884,0.3,20,16,small,0.2186792673180915,RUNNING
9,9,,2022-06-26 09:27:03.867521,,,relu,16,0.4,0.005339138332796331,0.9,0.995,2.2703819174237652e-05,2.0,20,32,medium,0.5300674221727492,RUNNING
